x	y	z	HIP_ID
-0.005222447411505214	-0.006378107007508417	0.999966022319776	HIP 73273 
-0.12678188875831095	-0.08087416060384119	0.988628202525853	HIP 93747 
-0.18978054644379916	-0.13099657097320108	0.973048427666761	HIP 74946 
0.16788380443793782	-0.04708258062203861	0.984681805868989	HIP 42536 
-0.11464483081763598	-0.061466532469012194	0.9915031155538703	HIP 62322 
-0.01994732447250611	-0.0039056783251565216	0.9997934036205726	HIP 23875 
-0.0601337793820483	-0.03702373165574716	0.9975034696037475	HIP 73714 
-0.07949196748600346	-0.028158108505553683	0.9964377291284156	HIP 73807 
-0.07621984026963151	-0.011629967185146979	0.9970232092647312	HIP 25281 
0.23193785882270446	0.09290406162676025	0.9682838762356782	HIP 38518 
0.07552344699135659	0.007233996130075692	0.9971177855471909	HIP 15510 
0.23327421202293486	0.0732382717027445	0.9696490589708597	HIP 33160 
0.1162609689651186	0.02997558570416968	0.992766262197192	HIP 116971
0.03611911384070716	-0.058444856286567655	0.9976370123391597	HIP 50555 
0.07982958060068297	-0.020857264737799096	0.9965902932342741	HIP 59929 
-0.20764358721344164	0.026685046525282127	0.977840502833196	HIP 3881  
-0.035867876594996434	-0.017187453679323787	0.9992087303784866	HIP 21589 
-0.10216958000829365	0.02123584393837629	0.9945403037851981	HIP 50676 
0.04777183538454572	-0.007796988414921819	0.998827842381083	HIP 12777 
0.07442648513128265	0.06700731467004059	0.9949727222852458	HIP 29038 
